feature,bin_label,bin_index,n_treat,n_control,p_treat,p_control,uplift,ci_low,ci_high
f0,"(12.6, 21.8]",0,126039,23961,0.0066,0.0043,0.0023,0.0014,0.0033
f0,"(21.8, 24.4]",1,62279,12721,0.001,0.0009,0.0002,-0.0004,0.0007
f0,"(24.4, 26.7]",2,62295,12705,0.0006,0.0006,-0.0,-0.0005,0.0004
f1,"(10.1, 13.9]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
f2,"(8.2, 8.7]",0,188320,36680,0.0046,0.0032,0.0014,0.0008,0.0021
f2,"(8.7, 9.1]",1,62293,12707,0.001,0.0003,0.0006,0.0003,0.001
f3,"(-8.4, 4.7]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
f4,"(10.3, 19.5]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
f5,"(-6.1, 4.1]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
f6,"(-27.8, -7.3]",0,66509,11175,0.0091,0.0058,0.0033,0.0017,0.0049
f6,"(-7.3, -3.3]",1,69310,13041,0.0018,0.0015,0.0003,-0.0005,0.001
f6,"(-3.3, 0.3]",2,114794,25171,0.0018,0.0014,0.0003,-0.0002,0.0009
f7,"(4.8, 12.0]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
f8,"(3.6, 3.9]",0,66334,11346,0.0133,0.01,0.0033,0.0013,0.0053
f8,"(3.9, 4.0]",1,184279,38041,0.0003,0.0002,0.0001,-0.0001,0.0002
f9,"(13.2, 67.2]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
f10,"(5.3, 6.5]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
f11,"(-1.4, -0.2]",0,250613,49387,0.0037,0.0024,0.0013,0.0008,0.0018
